scenario,policy,max_steps_mean,max_steps_std,num_agvs_mean,num_agvs_std,completed_jobs_mean,completed_jobs_std,throughput_mean,throughput_std,pending_tasks_mean,pending_tasks_std,total_agv_distance_mean,total_agv_distance_std,avg_agv_utilization_mean,avg_agv_utilization_std,util_A_mean,util_A_std,util_B_mean,util_B_std,util_C_mean,util_C_std,avg_queue_A_mean,avg_queue_A_std,avg_queue_B_mean,avg_queue_B_std,avg_queue_C_mean,avg_queue_C_std,max_queue_A_mean,max_queue_A_std,max_queue_B_mean,max_queue_B_std,max_queue_C_mean,max_queue_C_std,bottleneck_count_mean,bottleneck_count_std,bottleneck_count_A_mean,bottleneck_count_A_std,bottleneck_count_B_mean,bottleneck_count_B_std,bottleneck_count_C_mean,bottleneck_count_C_std
basic,bottleneck_aware,100.0,0.0,2.0,0.0,9.666666666666666,0.5773502691896258,0.09570957095709572,0.00571633929890719,0.0,0.0,152.0,4.0,0.835,0.021794494717703294,0.4000000000000001,0.0,0.4000000000000001,0.0,0.4000000000000001,0.0,0.12666666666666668,0.16772994167212166,0.06333333333333334,0.03214550253664319,0.043333333333333335,0.04509249752822894,1.3333333333333333,0.5773502691896258,1.0,0.0,0.6666666666666666,0.5773502691896258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
basic,fifo,100.0,0.0,2.0,0.0,9.666666666666666,0.5773502691896258,0.09570957095709572,0.00571633929890719,0.0,0.0,162.66666666666666,8.32666399786453,0.8766666666666666,0.03329164059239699,0.4000000000000001,0.0,0.4000000000000001,0.0,0.4000000000000001,0.0,0.16333333333333333,0.1709775813764288,0.016666666666666666,0.02886751345948129,0.056666666666666664,0.04932882862316247,1.3333333333333333,0.5773502691896258,0.3333333333333333,0.5773502691896258,0.6666666666666666,0.5773502691896258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
basic,nearest,100.0,0.0,2.0,0.0,9.666666666666666,0.5773502691896258,0.09570957095709572,0.00571633929890719,0.0,0.0,156.66666666666666,3.0550504633038904,0.8466666666666667,0.02081665999466124,0.4000000000000001,0.0,0.4000000000000001,0.0,0.4000000000000001,0.0,0.09999999999999999,0.1216552506059644,0.0,0.0,0.0,0.0,1.3333333333333333,0.5773502691896258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bottleneck_B,bottleneck_aware,100.0,0.0,2.0,0.0,7.666666666666667,0.5773502691896258,0.07590759075907591,0.005716339298907183,0.0,0.0,142.66666666666666,5.033222956847164,0.77,0.02499999999999998,0.3,0.0,0.91,0.026457513110645932,0.24,0.0,0.03666666666666667,0.03785938897200183,1.78,0.579396237474839,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,26.333333333333332,23.71356854910988,0.0,0.0,26.333333333333332,23.71356854910988,0.0,0.0
bottleneck_B,fifo,100.0,0.0,2.0,0.0,7.666666666666667,0.5773502691896258,0.07590759075907591,0.005716339298907183,0.3333333333333333,0.5773502691896258,152.66666666666666,11.37248140615465,0.8033333333333333,0.05251983752196244,0.3,0.0,0.91,0.026457513110645932,0.24,0.0,0.04,0.04358898943540673,1.7433333333333334,0.6700248751601193,0.0,0.0,1.0,0.0,3.6666666666666665,1.5275252316519468,0.0,0.0,25.666666666666668,24.583192089989726,0.0,0.0,25.666666666666668,24.583192089989726,0.0,0.0
bottleneck_B,nearest,100.0,0.0,2.0,0.0,7.666666666666667,0.5773502691896258,0.07590759075907591,0.005716339298907183,0.3333333333333333,0.5773502691896258,141.33333333333334,7.023769168568497,0.7666666666666666,0.02843120351538662,0.3,0.0,0.9166666666666666,0.015275252316519494,0.24,0.0,0.03333333333333333,0.011547005383792516,1.7566666666666666,0.44959240800232975,0.0,0.0,1.0,0.0,3.3333333333333335,0.5773502691896257,0.0,0.0,26.666666666666668,19.85782801147531,0.0,0.0,26.666666666666668,19.85782801147531,0.0,0.0
congested,bottleneck_aware,100.0,0.0,2.0,0.0,6.666666666666667,0.5773502691896257,0.06600660066006601,0.00571633929890719,20.0,1.0,184.66666666666666,2.309401076758499,0.995,0.0,0.84,0.0,0.47,0.0,0.31666666666666665,0.0057735026918962675,2.2133333333333334,0.13650396819628852,0.37666666666666665,0.04725815626252607,0.03,0.026457513110645904,4.0,0.0,2.0,0.0,1.0,0.0,52.666666666666664,5.859465277082315,52.666666666666664,5.859465277082315,0.0,0.0,0.0,0.0
congested,fifo,100.0,0.0,2.0,0.0,1.0,0.0,0.009900990099009901,0.0,20.666666666666668,0.5773502691896263,189.33333333333334,3.055050463303897,0.995,0.0,0.98,0.0,0.4033333333333333,0.03511884584284249,0.14,0.01732050807568877,4.8999999999999995,0.31432467291003435,0.016666666666666666,0.02081665999466133,0.0,0.0,8.0,0.0,0.6666666666666666,0.5773502691896258,0.0,0.0,86.0,1.7320508075688772,86.0,1.7320508075688772,0.0,0.0,0.0,0.0
congested,nearest,100.0,0.0,2.0,0.0,10.0,0.0,0.09900990099009903,0.0,17.0,0.0,182.0,0.0,0.995,0.0,0.54,0.0,0.48,0.0,0.41,0.0,0.28,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
