scenario,policy_name,seed,step,queue_A,queue_B,queue_C,pending_tasks,num_jobs_completed,throughput,total_agv_distance,bottleneck_station,bottleneck_queue_length
congested,bottleneck_aware,44,0,0,0,0,0,0,0.0,2,ProcessA,0
congested,bottleneck_aware,44,1,0,0,0,0,0,0.0,4,ProcessA,0
congested,bottleneck_aware,44,2,0,0,0,0,0,0.0,4,ProcessA,0
congested,bottleneck_aware,44,3,1,0,0,0,0,0.0,8,ProcessA,1
congested,bottleneck_aware,44,4,1,0,0,0,0,0.0,12,ProcessA,1
congested,bottleneck_aware,44,5,1,0,0,2,0,0.0,12,ProcessA,1
congested,bottleneck_aware,44,6,1,0,0,3,0,0.0,12,ProcessA,1
congested,bottleneck_aware,44,7,2,0,0,3,0,0.0,16,ProcessA,2
congested,bottleneck_aware,44,8,2,0,0,3,0,0.0,18,ProcessA,2
congested,bottleneck_aware,44,9,2,0,0,5,0,0.0,18,ProcessA,2
congested,bottleneck_aware,44,10,2,0,0,5,0,0.0,18,ProcessA,2
congested,bottleneck_aware,44,11,2,0,0,4,0,0.0,28,ProcessA,2
congested,bottleneck_aware,44,12,2,0,0,5,0,0.0,28,ProcessA,2
congested,bottleneck_aware,44,13,2,0,0,8,0,0.0,28,ProcessA,2
congested,bottleneck_aware,44,14,2,0,0,9,0,0.0,28,ProcessA,2
congested,bottleneck_aware,44,15,2,0,0,9,0,0.0,32,ProcessA,2
congested,bottleneck_aware,44,16,3,0,0,10,0,0.0,32,ProcessA,3
congested,bottleneck_aware,44,17,3,0,0,10,0,0.0,36,ProcessA,3
congested,bottleneck_aware,44,18,3,0,0,11,0,0.0,36,ProcessA,3
congested,bottleneck_aware,44,19,3,0,0,11,0,0.0,38,ProcessA,3
congested,bottleneck_aware,44,20,4,0,0,12,0,0.0,38,ProcessA,4
congested,bottleneck_aware,44,21,4,0,0,13,0,0.0,42,ProcessA,4
congested,bottleneck_aware,44,22,3,0,0,12,0,0.0,44,ProcessA,3
congested,bottleneck_aware,44,23,3,0,0,13,0,0.0,44,ProcessA,3
congested,bottleneck_aware,44,24,4,0,0,15,0,0.0,44,ProcessA,4
congested,bottleneck_aware,44,25,4,0,0,14,0,0.0,52,ProcessA,4
congested,bottleneck_aware,44,26,3,0,0,15,0,0.0,52,ProcessA,3
congested,bottleneck_aware,44,27,3,0,0,17,0,0.0,52,ProcessA,3
congested,bottleneck_aware,44,28,4,0,0,18,0,0.0,52,ProcessA,4
congested,bottleneck_aware,44,29,4,0,0,17,0,0.0,58,ProcessA,4
congested,bottleneck_aware,44,30,3,0,0,18,0,0.0,58,ProcessA,3
congested,bottleneck_aware,44,31,3,0,0,20,1,0.03125,58,ProcessA,3
congested,bottleneck_aware,44,32,4,0,0,20,1,0.030303030303030304,62,ProcessA,4
congested,bottleneck_aware,44,33,4,0,0,21,1,0.029411764705882353,64,ProcessA,4
congested,bottleneck_aware,44,34,3,0,0,22,1,0.02857142857142857,64,ProcessA,3
congested,bottleneck_aware,44,35,3,0,0,22,2,0.05555555555555555,64,ProcessA,3
congested,bottleneck_aware,44,36,3,0,0,21,2,0.05405405405405406,80,ProcessA,3
congested,bottleneck_aware,44,37,3,0,0,22,2,0.05263157894736842,80,ProcessA,3
congested,bottleneck_aware,44,38,2,0,0,23,2,0.05128205128205128,80,ProcessA,2
congested,bottleneck_aware,44,39,2,0,0,23,2,0.05,80,ProcessA,2
congested,bottleneck_aware,44,40,2,0,0,23,2,0.04878048780487805,80,ProcessA,2
congested,bottleneck_aware,44,41,3,0,0,24,2,0.047619047619047616,80,ProcessA,3
congested,bottleneck_aware,44,42,2,0,0,23,2,0.046511627906976744,84,ProcessA,2
congested,bottleneck_aware,44,43,2,0,0,23,2,0.045454545454545456,84,ProcessA,2
congested,bottleneck_aware,44,44,2,0,0,23,2,0.044444444444444446,84,ProcessA,2
congested,bottleneck_aware,44,45,4,0,0,24,2,0.043478260869565216,84,ProcessA,4
congested,bottleneck_aware,44,46,3,0,0,22,2,0.0425531914893617,90,ProcessA,3
congested,bottleneck_aware,44,47,3,0,0,22,2,0.041666666666666664,90,ProcessA,3
congested,bottleneck_aware,44,48,3,0,0,22,2,0.04081632653061224,90,ProcessA,3
congested,bottleneck_aware,44,49,4,0,0,22,2,0.04,92,ProcessA,4
congested,bottleneck_aware,44,50,3,0,0,21,2,0.0392156862745098,96,ProcessA,3
congested,bottleneck_aware,44,51,3,0,0,22,2,0.038461538461538464,96,ProcessA,3
congested,bottleneck_aware,44,52,3,0,0,21,2,0.03773584905660377,100,ProcessA,3
congested,bottleneck_aware,44,53,4,0,0,22,2,0.037037037037037035,100,ProcessA,4
congested,bottleneck_aware,44,54,3,0,0,22,2,0.03636363636363636,104,ProcessA,3
congested,bottleneck_aware,44,55,3,0,0,22,2,0.03571428571428571,104,ProcessA,3
congested,bottleneck_aware,44,56,3,0,0,21,2,0.03508771929824561,106,ProcessA,3
congested,bottleneck_aware,44,57,4,0,0,22,2,0.034482758620689655,106,ProcessA,4
congested,bottleneck_aware,44,58,3,0,0,22,3,0.05084745762711865,110,ProcessA,3
congested,bottleneck_aware,44,59,3,0,0,21,3,0.05,114,ProcessA,3
congested,bottleneck_aware,44,60,3,0,0,21,3,0.04918032786885246,114,ProcessA,3
congested,bottleneck_aware,44,61,4,0,0,22,3,0.04838709677419355,114,ProcessA,4
congested,bottleneck_aware,44,62,3,0,0,21,4,0.06349206349206349,116,ProcessA,3
congested,bottleneck_aware,44,63,3,0,0,20,4,0.0625,126,ProcessA,3
