scenario,policy_name,seed,step,queue_A,queue_B,queue_C,pending_tasks,num_jobs_completed,throughput,total_agv_distance,bottleneck_station,bottleneck_queue_length
basic,fifo,44,0,0,0,0,0,0,0.0,0,ProcessA,0
basic,fifo,44,1,0,0,0,0,0,0.0,0,ProcessA,0
basic,fifo,44,2,0,0,0,0,0,0.0,0,ProcessA,0
basic,fifo,44,3,0,0,0,0,0,0.0,2,ProcessA,0
basic,fifo,44,4,0,0,0,0,0,0.0,2,ProcessA,0
basic,fifo,44,5,0,0,0,0,0,0.0,4,ProcessA,0
basic,fifo,44,6,0,0,0,0,0,0.0,8,ProcessA,0
basic,fifo,44,7,1,0,0,1,0,0.0,8,ProcessA,1
basic,fifo,44,8,1,0,0,2,0,0.0,12,ProcessA,1
basic,fifo,44,9,1,0,0,2,0,0.0,12,ProcessA,1
basic,fifo,44,10,1,0,0,1,0,0.0,16,ProcessA,1
basic,fifo,44,11,2,0,0,1,0,0.0,16,ProcessA,2
basic,fifo,44,12,2,0,0,1,0,0.0,18,ProcessA,2
basic,fifo,44,13,2,0,0,1,0,0.0,18,ProcessA,2
basic,fifo,44,14,2,0,0,0,0,0.0,20,ProcessA,2
basic,fifo,44,15,2,0,0,0,0,0.0,20,ProcessA,2
basic,fifo,44,16,2,1,0,1,0,0.0,26,ProcessA,2
basic,fifo,44,17,1,1,0,1,0,0.0,30,ProcessA,1
basic,fifo,44,18,1,0,0,1,0,0.0,30,ProcessA,1
basic,fifo,44,19,1,0,0,2,0,0.0,30,ProcessA,1
basic,fifo,44,20,1,1,0,4,0,0.0,30,ProcessA,1
basic,fifo,44,21,1,1,0,5,0,0.0,32,ProcessA,1
basic,fifo,44,22,1,0,0,4,0,0.0,36,ProcessA,1
basic,fifo,44,23,1,0,0,5,0,0.0,36,ProcessA,1
basic,fifo,44,24,1,0,0,5,0,0.0,44,ProcessA,1
basic,fifo,44,25,1,0,0,6,0,0.0,44,ProcessA,1
basic,fifo,44,26,1,0,0,6,0,0.0,46,ProcessA,1
basic,fifo,44,27,1,0,0,6,0,0.0,46,ProcessA,1
basic,fifo,44,28,1,0,0,7,0,0.0,46,ProcessA,1
basic,fifo,44,29,0,0,0,6,0,0.0,52,ProcessA,0
basic,fifo,44,30,0,0,0,6,0,0.0,52,ProcessA,0
basic,fifo,44,31,1,0,0,7,0,0.0,52,ProcessA,1
basic,fifo,44,32,1,0,0,7,0,0.0,56,ProcessA,1
basic,fifo,44,33,0,0,0,7,0,0.0,56,ProcessA,0
basic,fifo,44,34,1,0,0,7,0,0.0,56,ProcessA,1
basic,fifo,44,35,1,0,0,6,0,0.0,60,ProcessA,1
basic,fifo,44,36,1,0,0,6,0,0.0,66,ProcessA,1
basic,fifo,44,37,0,0,0,6,0,0.0,66,ProcessA,0
basic,fifo,44,38,1,0,0,7,0,0.0,66,ProcessA,1
basic,fifo,44,39,1,0,0,6,0,0.0,70,ProcessA,1
basic,fifo,44,40,1,0,0,7,0,0.0,70,ProcessA,1
basic,fifo,44,41,0,0,0,7,0,0.0,70,ProcessA,0
basic,fifo,44,42,0,0,0,6,0,0.0,74,ProcessA,0
basic,fifo,44,43,0,0,0,5,0,0.0,80,ProcessA,0
basic,fifo,44,44,0,0,0,7,0,0.0,80,ProcessA,0
basic,fifo,44,45,0,0,0,8,1,0.021739130434782608,80,ProcessA,0
basic,fifo,44,46,0,0,0,7,1,0.02127659574468085,86,ProcessA,0
basic,fifo,44,47,0,0,0,7,1,0.020833333333333332,86,ProcessA,0
basic,fifo,44,48,0,0,0,7,1,0.02040816326530612,86,ProcessA,0
basic,fifo,44,49,0,0,0,6,1,0.02,90,ProcessA,0
basic,fifo,44,50,0,0,0,6,1,0.0196078431372549,90,ProcessA,0
basic,fifo,44,51,0,0,0,7,1,0.019230769230769232,90,ProcessA,0
basic,fifo,44,52,0,0,0,6,1,0.018867924528301886,96,ProcessA,0
basic,fifo,44,53,0,0,0,5,1,0.018518518518518517,100,ProcessA,0
basic,fifo,44,54,0,0,0,6,1,0.01818181818181818,100,ProcessA,0
basic,fifo,44,55,0,0,0,7,1,0.017857142857142856,100,ProcessA,0
basic,fifo,44,56,0,0,0,7,2,0.03508771929824561,100,ProcessA,0
basic,fifo,44,57,0,0,0,6,2,0.034482758620689655,108,ProcessA,0
basic,fifo,44,58,0,0,0,5,2,0.03389830508474576,112,ProcessA,0
basic,fifo,44,59,0,0,0,5,2,0.03333333333333333,112,ProcessA,0
basic,fifo,44,60,0,0,0,6,2,0.03278688524590164,112,ProcessA,0
basic,fifo,44,61,0,0,0,6,2,0.03225806451612903,112,ProcessA,0
basic,fifo,44,62,0,0,0,5,2,0.031746031746031744,114,ProcessA,0
basic,fifo,44,63,0,0,0,5,2,0.03125,114,ProcessA,0
basic,fifo,44,64,0,1,0,6,2,0.03076923076923077,114,ProcessB,1
basic,fifo,44,65,0,0,0,4,2,0.030303030303030304,118,ProcessA,0
basic,fifo,44,66,0,0,0,4,2,0.029850746268656716,118,ProcessA,0
basic,fifo,44,67,0,0,1,5,3,0.04411764705882353,118,ProcessC,1
basic,fifo,44,68,0,0,0,4,3,0.043478260869565216,126,ProcessA,0
basic,fifo,44,69,0,0,0,4,3,0.04285714285714286,126,ProcessA,0
basic,fifo,44,70,0,0,0,4,3,0.04225352112676056,126,ProcessA,0
basic,fifo,44,71,0,0,1,5,4,0.05555555555555555,126,ProcessC,1
basic,fifo,44,72,0,0,0,3,4,0.0547945205479452,136,ProcessA,0
basic,fifo,44,73,0,0,0,3,4,0.05405405405405406,136,ProcessA,0
basic,fifo,44,74,0,0,0,3,4,0.05333333333333334,136,ProcessA,0
basic,fifo,44,75,0,0,1,4,4,0.05263157894736842,136,ProcessC,1
basic,fifo,44,76,0,0,0,3,4,0.05194805194805195,138,ProcessA,0
basic,fifo,44,77,0,0,1,3,4,0.05128205128205128,138,ProcessC,1
basic,fifo,44,78,0,0,1,2,5,0.06329113924050633,142,ProcessC,1
basic,fifo,44,79,0,0,1,2,5,0.0625,146,ProcessC,1
basic,fifo,44,80,0,0,0,2,5,0.06172839506172839,146,ProcessA,0
basic,fifo,44,81,0,0,1,2,5,0.06097560975609756,146,ProcessC,1
basic,fifo,44,82,0,0,1,1,6,0.07228915662650602,148,ProcessC,1
basic,fifo,44,83,0,0,1,1,6,0.07142857142857142,152,ProcessC,1
basic,fifo,44,84,0,0,0,1,7,0.08235294117647059,152,ProcessA,0
basic,fifo,44,85,0,0,0,0,7,0.08139534883720931,156,ProcessA,0
basic,fifo,44,86,0,0,0,0,8,0.09195402298850575,156,ProcessA,0
basic,fifo,44,87,0,0,0,1,8,0.09090909090909091,156,ProcessA,0
basic,fifo,44,88,0,0,0,0,9,0.10112359550561797,160,ProcessA,0
basic,fifo,44,89,0,0,0,0,9,0.1,160,ProcessA,0
basic,fifo,44,90,0,0,0,0,9,0.0989010989010989,160,ProcessA,0
basic,fifo,44,91,0,0,0,0,10,0.10869565217391304,160,ProcessA,0
basic,fifo,44,92,0,0,0,0,10,0.10752688172043011,160,ProcessA,0
basic,fifo,44,93,0,0,0,0,10,0.10638297872340426,160,ProcessA,0
basic,fifo,44,94,0,0,0,0,10,0.10526315789473684,160,ProcessA,0
basic,fifo,44,95,0,0,0,0,10,0.10416666666666667,160,ProcessA,0
basic,fifo,44,96,0,0,0,0,10,0.10309278350515463,160,ProcessA,0
basic,fifo,44,97,0,0,0,0,10,0.10204081632653061,160,ProcessA,0
basic,fifo,44,98,0,0,0,0,10,0.10101010101010101,160,ProcessA,0
basic,fifo,44,99,0,0,0,0,10,0.1,160,ProcessA,0
